Date,Close,ma5,ma20,ma60
2018-10-30,223.0,223.1,236.725,247.70833333333334
2018-10-31,234.0,224.0,235.55,247.51666666666668
2018-11-01,235.5,227.2,234.325,247.41666666666666
2018-11-02,236.5,230.3,233.45,247.23333333333332
2018-11-05,235.0,232.8,232.7,247.03333333333333
2018-11-06,234.5,235.1,232.25,246.85833333333332
2018-11-07,234.0,235.1,231.75,246.75
2018-11-08,236.5,235.3,232.2,246.63333333333333
2018-11-09,231.0,234.2,231.9,246.45833333333334
2018-11-12,231.5,233.5,231.95,246.33333333333334
2018-11-13,227.5,232.1,231.475,246.13333333333333
2018-11-14,228.5,231.0,230.975,245.95
2018-11-15,231.0,229.9,230.7,245.78333333333333
2018-11-16,226.0,228.9,230.2,245.51666666666668
2018-11-19,222.0,227.0,229.45,245.14166666666668
2018-11-20,218.0,225.1,228.85,244.71666666666667
2018-11-21,219.0,223.2,228.325,244.28333333333333
2018-11-22,219.0,220.8,228.3,243.775
2018-11-23,218.5,219.3,228.175,243.1
2018-11-26,223.0,219.5,228.2,242.425
2018-11-27,224.0,220.7,228.25,241.89166666666668
2018-11-28,226.5,222.2,227.875,241.38333333333333
2018-11-29,229.0,224.2,227.55,240.90833333333333
2018-11-30,225.5,225.6,227.0,240.26666666666668
2018-12-03,235.0,228.0,227.0,239.83333333333334
2018-12-04,234.0,230.0,226.975,239.33333333333334
2018-12-05,226.0,229.9,226.575,238.69166666666666
2018-12-06,220.0,228.1,225.75,238.025
2018-12-07,221.0,227.2,225.25,237.36666666666667
2018-12-10,219.0,224.0,224.625,236.76666666666668
2018-12-11,222.5,221.7,224.375,236.125
2018-12-12,226.5,221.8,224.275,235.6
2018-12-13,226.0,223.0,224.025,235.125
2018-12-14,222.5,223.3,223.85,234.53333333333333
2018-12-17,223.5,224.2,223.925,233.925
2018-12-18,222.5,224.2,224.15,233.275
2018-12-19,225.5,224.0,224.475,232.64166666666668
2018-12-20,221.0,223.0,224.575,231.93333333333334
2018-12-21,223.5,223.2,224.825,231.24166666666667
2018-12-24,220.0,222.5,224.675,230.53333333333333
2018-12-25,217.5,221.5,224.35,229.775
2018-12-26,216.5,219.7,223.85,229.09166666666667
2018-12-27,223.0,220.1,223.55,228.475
2018-12-28,225.5,220.5,223.55,228.0
2019-01-02,219.5,220.4,222.775,227.49166666666667
2019-01-03,215.5,220.0,221.85,227.025
2019-01-04,208.0,218.3,220.95,226.425
2019-01-07,213.0,216.3,220.6,226.18333333333334
2019-01-08,211.0,213.4,220.1,225.75
2019-01-09,215.5,212.6,219.925,225.5
2019-01-10,216.0,212.7,219.6,225.15
2019-01-11,220.5,215.2,219.3,224.85
2019-01-14,218.5,216.3,218.925,224.55
2019-01-15,221.0,218.3,218.85,224.3
2019-01-16,217.5,218.7,218.55,223.975
2019-01-17,220.5,219.6,218.45,223.81666666666666
2019-01-18,218.5,219.2,218.1,223.63333333333333
2019-01-21,221.0,219.7,218.1,223.65833333333333
2019-01-22,223.0,220.1,218.075,223.69166666666666
2019-01-23,220.5,220.7,218.1,223.65833333333333
2019-01-24,222.5,221.1,218.35,223.65
2019-01-25,226.0,222.6,218.825,223.51666666666668
2019-01-28,229.0,224.2,219.125,223.40833333333333
2019-01-29,222.5,224.1,218.975,223.175
2019-01-30,221.0,224.2,219.05,222.94166666666666
2019-02-11,228.0,225.3,219.675,222.83333333333334
2019-02-12,230.0,226.1,220.775,222.76666666666668
2019-02-13,229.0,226.1,221.575,222.64166666666668
2019-02-14,227.0,227.0,222.375,222.575
2019-02-15,227.0,228.2,222.95,222.5
2019-02-18,230.0,228.6,223.65,222.54166666666666
2019-02-19,229.0,228.4,224.075,222.55
2019-02-20,234.5,229.5,224.875,222.60833333333332
2019-02-21,236.5,231.4,225.65,222.78333333333333
2019-02-22,236.5,233.3,226.6,223.025
2019-02-25,238.0,234.9,227.475,223.35833333333332
2019-02-26,239.5,237.0,228.525,223.7
2019-02-27,239.0,237.9,229.425,224.03333333333333
2019-03-04,235.5,237.7,230.05,224.31666666666666
2019-03-05,233.0,237.0,230.675,224.48333333333332
2019-03-06,234.0,236.2,231.25,224.65
2019-03-07,234.0,235.1,231.65,224.775
2019-03-08,230.0,233.3,231.7,224.79166666666666
2019-03-11,230.5,232.3,232.1,224.875
2019-03-12,235.5,232.8,232.825,224.88333333333333
2019-03-13,237.0,233.4,233.275,224.93333333333334
2019-03-14,234.5,233.5,233.5,225.075
2019-03-15,239.0,235.3,234.0,225.39166666666668
2019-03-18,241.0,237.4,234.7,225.725
2019-03-19,240.5,238.4,235.375,226.08333333333334
2019-03-20,242.0,239.4,235.975,226.40833333333333
2019-03-21,245.5,241.6,236.8,226.725
2019-03-22,248.5,243.5,237.5,227.1
2019-03-25,241.5,243.6,237.75,227.41666666666666
2019-03-26,244.0,244.3,238.125,227.75833333333333
2019-03-27,241.5,244.2,238.3,228.075
2019-03-28,242.0,243.5,238.425,228.35
2019-03-29,245.5,242.9,238.75,228.75833333333333
2019-04-01,245.5,243.7,239.25,229.125
2019-04-02,246.0,244.1,239.9,229.55833333333334
2019-04-03,246.5,245.1,240.525,230.04166666666666
2019-04-08,253.0,247.3,241.475,230.65
2019-04-09,254.0,249.0,242.675,231.16666666666666
2019-04-10,254.0,250.7,243.85,231.64166666666668
2019-04-11,252.0,251.9,244.675,232.18333333333334
2019-04-12,252.0,253.0,245.425,232.79166666666666
2019-04-15,255.5,253.5,246.475,233.58333333333334
2019-04-16,257.0,254.1,247.375,234.31666666666666
2019-04-17,261.5,255.6,248.4,235.15833333333333
2019-04-18,264.5,258.1,249.6,235.975
2019-04-19,264.5,260.6,250.725,236.78333333333333
2019-04-22,266.0,262.7,251.75,237.54166666666666
2019-04-23,268.0,264.9,252.725,238.36666666666667
2019-04-24,269.0,266.4,254.1,239.16666666666666
2019-04-25,267.5,267.0,255.275,240.0
2019-04-26,260.0,266.1,256.2,240.65833333333333
2019-04-29,259.5,264.8,257.075,241.34166666666667
2019-04-30,259.0,263.0,257.75,241.975
2019-05-02,259.0,261.0,258.425,242.575
2019-05-03,265.0,260.5,259.375,243.31666666666666
2019-05-06,259.0,260.3,260.0,243.925
2019-05-07,262.5,260.9,260.475,244.53333333333333
2019-05-08,260.0,261.1,260.775,245.05
2019-05-09,256.5,260.6,260.9,245.61666666666667
2019-05-10,256.0,258.8,261.1,246.2
2019-05-13,250.5,257.1,261.025,246.575
2019-05-14,248.5,254.3,260.675,246.88333333333333
2019-05-15,249.0,252.1,260.275,247.21666666666667
2019-05-16,247.0,250.2,259.55,247.55
2019-05-17,241.5,247.3,258.4,247.79166666666666
2019-05-20,238.0,244.8,257.075,247.925
2019-05-21,234.0,241.9,255.475,248.00833333333333
2019-05-22,238.0,239.7,253.975,248.06666666666666
2019-05-23,230.0,236.3,252.025,247.95833333333334
2019-05-24,233.0,234.6,250.3,247.9
2019-05-27,231.0,233.2,248.85,247.78333333333333
2019-05-28,230.5,232.5,247.4,247.63333333333333
